epoch,loss,mape,mse,val_loss,val_mape,val_mse
0,0.05205726623535156,0.04065045714378357,0.004448744002729654,0.0275726318359375,0.017609721049666405,0.0007602500263601542
1,0.06691557168960571,0.05188276246190071,0.006379980128258467,0.0467529296875,0.02985953725874424,0.002185836434364319
2,0.05343268811702728,0.04152301698923111,0.004171591252088547,0.0911102294921875,0.058189064264297485,0.00830107368528843
3,0.059706464409828186,0.04617990553379059,0.005822587292641401,0.0945281982421875,0.0603720098733902,0.008935580030083656
4,0.06197194382548332,0.04752589389681816,0.005350519437342882,0.1089324951171875,0.06957155466079712,0.011866288259625435
5,0.13711296021938324,0.1003427654504776,0.24678678810596466,0.07025146484375,0.044867269694805145,0.004935268312692642
6,0.1972375214099884,0.14097031950950623,1.0548813343048096,0.0778350830078125,0.04971066862344742,0.0060582999140024185
7,0.10589072108268738,0.07708272337913513,0.1728207767009735,0.0183258056640625,0.011704081669449806,0.0003358351532369852
8,0.08752177655696869,0.065390445291996,0.06586212664842606,0.02117919921875,0.013526448979973793,0.0004485584795475006
9,0.06100441515445709,0.047720760107040405,0.004886404611170292,0.07196044921875,0.0459587387740612,0.0051783062517642975
10,0.0739021897315979,0.0646844282746315,0.04665704444050789,0.0396575927734375,0.025327980518341064,0.0015727246645838022
11,0.06344127655029297,0.049191560596227646,0.0060873934999108315,0.1014862060546875,0.06481585651636124,0.010299449786543846
12,0.06973681598901749,0.05373074859380722,0.010623861104249954,0.32989501953125,0.21069294214248657,0.10883072018623352
13,0.05089972913265228,0.03949110582470894,0.004486852791160345,0.038299560546875,0.024460650980472565,0.001466856338083744
14,0.06284971535205841,0.04770432412624359,0.005823229905217886,0.0457763671875,0.02923583984375,0.0020954757928848267
15,0.049446217715740204,0.03896839916706085,0.004518868401646614,0.3910980224609375,0.2497812807559967,0.15295766294002533
16,0.12881222367286682,0.10174810141324997,0.3452285826206207,0.06121826171875,0.03909806162118912,0.0037476755678653717
17,0.12084776163101196,0.09320905804634094,0.35514429211616516,0.0163116455078125,0.010417704470455647,0.0002660697791725397
18,0.12014136463403702,0.09077803045511246,0.2924034595489502,0.121826171875,0.07780631631612778,0.014841616153717041
19,0.41382133960723877,0.3277546167373657,2.1545417308807373,0.10516357421875,0.06716446578502655,0.01105937734246254
20,0.26984474062919617,0.2084987461566925,1.175601601600647,1.0473175048828125,0.6688867807388306,1.0968739986419678
21,0.18365983664989471,0.14106833934783936,0.765127956867218,0.152496337890625,0.09739432483911514,0.023255132138729095
